# Species	Genes	Alg.-Conn.	GCF_000007365.1_ASM736v1_protein.faa	GCF_000007725.1_ASM772v1_protein.faa	GCF_000009605.1_ASM960v1_protein.faa	GCF_000021065.1_ASM2106v1_protein.faa	GCF_000021085.1_ASM2108v1_protein.faa	GCF_000090965.1_ASM9096v1_protein.faa	GCF_000174075.1_ASM17407v1_protein.faa	GCF_000183225.1_ASM18322v1_protein.faa	GCF_000183245.1_ASM18324v1_protein.faa	GCF_000183285.1_ASM18328v1_protein.faa	GCF_000183305.1_ASM18330v1_protein.faa	GCF_000217635.1_ASM21763v1_protein.faa	GCF_000225445.1_ASM22544v1_protein.faa	GCF_000225465.1_ASM22546v1_protein.faa	GCF_000521525.1_ASM52152v1_protein.faa	GCF_000521545.1_ASM52154v1_protein.faa	GCF_000521565.1_ASM52156v1_protein.faa	GCF_000521585.1_ASM52158v1_protein.faa	GCF_001280225.1_ASM128022v1_protein.faa	GCF_001648115.1_ASM164811v1_protein.faa	GCF_001700895.1_ASM170089v1_protein.faa	GCF_003096055.1_ASM309605v1_protein.faa	GCF_003099975.1_ASM309997v1_protein.faa	GCF_003671935.1_ASM367193v1_protein.faa	GCF_005080705.1_ASM508070v1_protein.faa	GCF_005080725.1_ASM508072v1_protein.faa	GCF_005080745.1_ASM508074v1_protein.faa	GCF_005080765.1_ASM508076v1_protein.faa	GCF_005080785.1_ASM508078v1_protein.faa	GCF_005080825.1_ASM508082v1_protein.faa	GCF_005080845.1_ASM508084v1_protein.faa	GCF_005080865.1_ASM508086v1_protein.faa	GCF_005080885.1_ASM508088v1_protein.faa	GCF_005080965.1_ASM508096v1_protein.faa	GCF_005081185.1_ASM508118v1_protein.faa	GCF_005081445.1_ASM508144v1_protein.faa	GCF_005081705.1_ASM508170v1_protein.faa	GCF_005081945.1_ASM508194v1_protein.faa	GCF_005082145.1_ASM508214v1_protein.faa	GCF_005082365.1_ASM508236v1_protein.faa	GCF_005082585.1_ASM508258v1_protein.faa	GCF_005082825.1_ASM508282v1_protein.faa	GCF_005083105.1_ASM508310v1_protein.faa	GCF_005083345.1_ASM508334v1_protein.faa	GCF_005083565.1_ASM508356v1_protein.faa	GCF_005083845.1_ASM508384v1_protein.faa	GCF_005237295.1_ASM523729v1_protein.faa	GCF_006741185.1_BucNmo_1.0_protein.faa	GCF_009068925.1_ASM906892v1_protein.faa	GCF_009069125.1_ASM906912v1_protein.faa	GCF_011035165.1_ASM1103516v1_protein.faa	GCF_013394915.1_ASM1339491v1_protein.faa	GCF_013487785.1_ASM1348778v1_protein.faa	GCF_900016785.1_BTsPazieg1.0_protein.faa	GCF_900128595.1_BCipseudotaxifoliae_v1.0_protein.faa	GCF_900128725.1_BCifornacula_v1.0_protein.faa	GCF_900128735.1_BCiconfinis_v1.0_protein.faa	GCF_900560745.1_BuCistrobi3249_v2.0_protein.faa	GCF_900698845.1_BuCisplendens_pseudotsugae_v1.0_protein.faa	GCF_900698865.1_BuCicuneomaculata_v1.0_protein.faa	GCF_900698895.1_BuCicurtihirsuta_v1.0_protein.faa	GCF_900698905.1_BuCikochiana_v1.0_protein.faa	GCF_900698915.1_BuCicurvipes_v1.0_protein.faa	GCF_900698945.1_BuCilaricifoliae_v1.0_protein.faa	GCF_900698975.1_BuCisplendens_Palmer_v1.0_protein.faa	GCF_900699025.1_BuCipseudotaxifoliae_v2.0_protein.faa	GCF_900699035.1_BuCipiceae_v1.0_protein.faa
67	67	0.297	WP_009874442.1	WP_011091543.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_011672684.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_013878025.1	WP_009874442.1	WP_013878025.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_009874442.1	WP_075474322.1	WP_011091543.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_158349571.1	WP_158349571.1	WP_011091543.1	WP_158341984.1	WP_158349571.1	WP_158353696.1	WP_009874442.1	WP_009874442.1	WP_158362916.1	WP_009874442.1	WP_009874442.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_009874442.1	WP_025369112.1	WP_009874442.1	WP_009874442.1	WP_158366969.1	WP_009874442.1	WP_025369112.1	WP_011091543.1	WP_009874442.1	WP_158345111.1	WP_009874442.1	WP_009874442.1	WP_013878025.1	WP_009874442.1	WP_009874442.1	WP_009874442.1	WP_025369112.1	WP_025369112.1	WP_013878025.1	WP_158349180.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1	WP_025369112.1
67	67	0.167	WP_011054015.1	WP_011091575.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_011672715.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_013878055.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_053940444.1	WP_075474351.1	WP_009874476.1	WP_158341063.1	WP_011054015.1	WP_158361070.1	WP_158349612.1	WP_158350843.1	WP_158336693.1	WP_158342047.1	WP_158352048.1	WP_158353754.1	WP_011054015.1	WP_158343892.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_009874476.1	WP_053940444.1	WP_009874476.1	WP_158338798.1	WP_009874476.1	WP_053940444.1	WP_053940444.1	WP_009874476.1	WP_053940444.1	WP_009874476.1	WP_009874476.1	WP_053940444.1	WP_053940444.1	WP_053940444.1	WP_053940444.1	WP_053940444.1	WP_075472888.1	WP_075474911.1	WP_075434139.1	WP_075432272.1	WP_158349210.1	WP_154049017.1	WP_154027671.1	WP_154061296.1	WP_154028832.1	WP_154029384.1	WP_154061668.1	WP_154049017.1	WP_075474911.1	WP_154049393.1
67	67	0.0347	WP_011053557.1	WP_011091165.1	WP_009873980.1	WP_012619403.1	WP_009873980.1	WP_011672415.1	WP_009873980.1	WP_012619403.1	WP_012619403.1	WP_009873980.1	WP_009873980.1	WP_013877747.1	WP_014499192.1	WP_014499758.1	WP_025368682.1	WP_025368682.1	WP_025368682.1	WP_025368682.1	WP_053940013.1	WP_075473746.1	WP_075433093.1	WP_158341510.1	WP_011053557.1	WP_158360986.1	WP_158349296.1	WP_158350952.1	WP_158336242.1	WP_158341570.1	WP_158351504.1	WP_158353019.1	WP_158337704.1	WP_158343076.1	WP_158362131.1	WP_158354378.1	WP_158355763.1	WP_158356326.1	WP_158357150.1	WP_158358885.1	WP_158360344.1	WP_158363906.1	WP_158337891.1	WP_158365409.1	WP_158366222.1	WP_158345877.1	WP_158339193.1	WP_158339798.1	WP_158340372.1	WP_158344473.1	WP_158345877.1	WP_158348176.1	WP_163118837.1	WP_158345877.1	WP_180818843.1	WP_075472254.1	WP_075474453.1	WP_075433637.1	WP_075431631.1	WP_158348888.1	WP_154060639.1	WP_154026965.1	WP_154061003.1	WP_154028219.1	WP_154029081.1	WP_154061367.1	WP_154048721.1	WP_075474453.1	WP_154049093.1
66	66	0.0196	WP_011053826.1	WP_011091418.1	WP_009874269.1	WP_009874269.1	WP_009874269.1	WP_011672586.1	WP_009874269.1	WP_009874269.1	WP_009874269.1	WP_009874269.1	WP_009874269.1	WP_013877927.1	WP_014499467.1	WP_014500015.1	WP_025368952.1	WP_025368952.1	WP_025368952.1	WP_025368952.1	WP_053940270.1	WP_075474191.1	WP_075433349.1	WP_158341246.1	WP_011053826.1	WP_011053826.1	WP_158349478.1	*	WP_158336518.1	WP_158341778.1	WP_158351817.1	WP_158353439.1	WP_158337179.1	WP_158343574.1	WP_014500015.1	WP_158354910.1	WP_158356018.1	WP_158356584.1	WP_158357699.1	WP_158359471.1	WP_053940270.1	WP_158357699.1	WP_158338428.1	WP_158365708.1	WP_158366667.1	WP_158368781.1	WP_009874269.1	WP_158340068.1	WP_158340640.1	WP_158344900.1	WP_158346390.1	WP_053940270.1	WP_163119290.1	WP_158346390.1	WP_053940270.1	WP_075472611.1	WP_075474709.1	WP_075433849.1	WP_075431936.1	WP_158349087.1	WP_154048895.1	WP_075474709.1	WP_154061171.1	WP_154028584.1	WP_154029258.1	WP_075474709.1	WP_154048895.1	WP_075474709.1	WP_154049265.1
65	65	0.00832	WP_011054072.1	WP_011091638.1	WP_009874544.1	WP_009874544.1	WP_009874544.1	WP_011672751.1	WP_009874544.1	WP_009874544.1	WP_009874544.1	WP_009874544.1	*	WP_013878085.1	WP_014499719.1	WP_014500255.1	WP_025369207.1	WP_025369207.1	WP_025369207.1	WP_025369207.1	WP_053940503.1	WP_075474410.1	WP_075433587.1	WP_158341005.1	WP_011054072.1	WP_158337677.1	WP_158349696.1	WP_158350936.1	WP_158336751.1	WP_158342133.1	*	WP_158353865.1	WP_158337677.1	WP_158344017.1	WP_158337677.1	WP_158338928.1	WP_158337677.1	WP_158356827.1	WP_158358214.1	WP_158360032.1	WP_053940503.1	WP_158364948.1	WP_158338928.1	WP_158337677.1	WP_158367206.1	WP_053940503.1	WP_158338928.1	WP_158340318.1	WP_158338928.1	WP_158345243.1	WP_053940503.1	WP_158348118.1	WP_163119735.1	WP_053940503.1	WP_053940503.1	WP_075472960.1	WP_075474976.1	WP_075434191.1	WP_075432352.1	WP_158349245.1	WP_154060963.1	WP_154027741.1	WP_154061328.1	WP_154028901.1	WP_154029418.1	WP_154061733.1	WP_154049052.1	WP_075474976.1	WP_154049427.1
64	64	0.0221	WP_011054016.1	WP_011091576.1	WP_009874477.1	WP_009874477.1	WP_009874477.1	WP_011672716.1	WP_009874477.1	WP_009874477.1	*	WP_014498950.1	*	WP_013878056.1	WP_014499656.1	WP_014500197.1	WP_025369145.1	WP_025369145.1	WP_025369145.1	WP_025369145.1	WP_053940445.1	WP_075474352.1	WP_075433530.1	WP_158341062.1	WP_011054016.1	WP_158361069.1	WP_158349613.1	WP_158350845.1	WP_158336694.1	*	WP_158352050.1	WP_158353757.1	WP_158337554.1	WP_158343894.1	WP_158362979.1	WP_158355263.1	WP_158356192.1	WP_158356771.1	WP_158358087.1	WP_158359884.1	WP_158360791.1	WP_158364827.1	WP_158338800.1	WP_158365896.1	WP_158367037.1	WP_158369132.1	WP_158339685.1	WP_158340255.1	WP_158340827.1	WP_158345171.1	WP_158346752.1	WP_158347996.1	WP_163119623.1	WP_158346752.1	WP_158360791.1	WP_075472890.1	WP_075474913.1	WP_075434140.1	WP_075432275.1	WP_158349211.1	WP_154060931.1	WP_154027673.1	WP_154061297.1	WP_154028834.1	WP_154029385.1	WP_154061669.1	WP_154049018.1	WP_075474913.1	WP_154049394.1
63	63	0.125	WP_011053591.1	WP_011091194.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_011672436.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_013877767.1	WP_009874014.1	WP_011053591.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_009874014.1	WP_053940044.1	WP_075473805.1	WP_075433125.1	WP_158341477.1	WP_011053591.1	WP_011053591.1	*	*	WP_158336273.1	*	*	WP_158353081.1	WP_009874014.1	WP_158343130.1	WP_158362198.1	WP_009874014.1	WP_158355795.1	WP_158337957.1	WP_158357224.1	WP_009874014.1	WP_158360378.1	WP_158363963.1	WP_158337957.1	WP_158365469.1	WP_053940044.1	WP_053940044.1	WP_011053591.1	WP_158339831.1	WP_009874014.1	WP_158344524.1	WP_053940044.1	WP_053940044.1	WP_163118899.1	WP_053940044.1	WP_158360378.1	WP_075472292.1	WP_075474474.1	WP_075433658.1	WP_075431663.1	WP_158348906.1	WP_154060658.1	WP_154027023.1	WP_154061022.1	WP_154028259.1	WP_154029102.1	WP_154061387.1	WP_154048742.1	WP_075474474.1	WP_154049113.1
63	63	0.0125	WP_011054019.1	WP_011091579.1	WP_009874480.1	WP_009874480.1	WP_009874480.1	WP_011672719.1	WP_009874480.1	WP_009874480.1	WP_009874480.1	WP_009874480.1	WP_009874480.1	WP_013878059.1	WP_014499659.1	WP_014500200.1	WP_025369148.1	WP_025369148.1	WP_025369148.1	WP_025369148.1	WP_053940448.1	WP_075474355.1	WP_075433533.1	WP_158341059.1	WP_011054019.1	WP_158361066.1	*	*	WP_158336697.1	WP_158342055.1	*	WP_158353765.1	WP_158337560.1	WP_158343900.1	WP_158362985.1	WP_158355269.1	WP_158356195.1	WP_158356774.1	WP_158358093.1	WP_158359891.1	WP_158360794.1	WP_158364833.1	WP_158338806.1	WP_158365899.1	WP_158367043.1	WP_158369138.1	WP_158339688.1	WP_158340258.1	WP_158340830.1	*	WP_158346760.1	WP_158348002.1	WP_163119629.1	WP_178919410.1	WP_158360794.1	WP_075472896.1	WP_075474919.1	WP_075434145.1	WP_075432282.1	WP_158349214.1	WP_154060933.1	WP_154027679.1	WP_154029388.1	WP_154028840.1	WP_154029388.1	WP_154061672.1	WP_154049021.1	WP_075474919.1	WP_154049397.1
63	63	0.0119	WP_011053991.1	*	WP_009874452.1	WP_009874452.1	WP_009874452.1	WP_011672691.1	WP_009874452.1	WP_009874452.1	WP_009874452.1	WP_009874452.1	WP_009874452.1	WP_013878031.1	WP_014499632.1	WP_014500173.1	WP_025369121.1	WP_025369121.1	WP_025369121.1	WP_025369121.1	WP_053940421.1	*	WP_075433506.1	WP_158341086.1	WP_011053991.1	WP_158361094.1	WP_158349579.1	WP_158350794.1	WP_158336670.1	WP_158342000.1	*	WP_158353710.1	WP_158337505.1	WP_158343846.1	WP_158362934.1	WP_009874452.1	WP_158356168.1	WP_158356747.1	WP_158358039.1	WP_158359835.1	WP_158347961.1	WP_158364778.1	WP_158338751.1	WP_158365872.1	WP_158366988.1	WP_158369089.1	WP_158339662.1	WP_158340348.1	WP_009874452.1	WP_158345123.1	WP_158346707.1	WP_158347961.1	WP_163119573.1	WP_158346707.1	WP_158347961.1	*	WP_075474865.1	WP_075434097.1	WP_075432134.1	WP_158349186.1	WP_154060910.1	WP_154027623.1	WP_154061273.1	WP_154028786.1	WP_154029360.1	WP_154061645.1	WP_154049075.1	WP_075474865.1	WP_154049369.1
62	62	0.00134	WP_011053910.1	WP_011091485.1	WP_009874362.1	WP_009874362.1	WP_009874362.1	WP_011672641.1	WP_009874362.1	WP_009874362.1	WP_009874362.1	WP_009874362.1	WP_009874362.1	WP_013877985.1	WP_014499548.1	WP_014500094.1	WP_025369034.1	WP_025369034.1	WP_025369034.1	WP_025369034.1	WP_053940344.1	WP_075474258.1	WP_075433429.1	WP_158341163.1	WP_011053910.1	WP_011053910.1	*	*	WP_158336589.1	WP_158341883.1	WP_158351910.1	*	WP_011053910.1	WP_158343721.1	WP_158362785.1	WP_158355066.1	WP_158356098.1	WP_158356665.1	WP_158357862.1	WP_158359647.1	WP_158360689.1	WP_158364622.1	WP_158338975.1	WP_158365791.1	WP_158366826.1	WP_158368926.1	WP_158339582.1	WP_158340151.1	WP_158340723.1	WP_158345282.1	WP_158346546.1	WP_158347805.1	WP_163119419.1	WP_158346546.1	WP_158360689.1	*	WP_075475019.1	*	WP_075432043.1	WP_158349138.1	WP_154060862.1	WP_154027520.1	WP_154061225.1	WP_154028684.1	WP_154029313.1	WP_154061596.1	WP_154048945.1	WP_075475019.1	WP_154049321.1
47	47	0.00615	WP_011054048.1	*	WP_009874511.1	WP_009874511.1	WP_009874511.1	*	WP_009874511.1	WP_009874511.1	WP_009874511.1	WP_009874511.1	WP_009874511.1	WP_013878076.1	WP_014499691.1	WP_014500229.1	WP_025369180.1	WP_025369180.1	WP_025369180.1	WP_025369180.1	WP_053940478.1	*	WP_075433561.1	WP_158341032.1	WP_011054048.1	WP_158361037.1	*	*	WP_158336725.1	*	*	WP_158353826.1	WP_158337628.1	WP_158343962.1	WP_158363043.1	WP_158340861.1	WP_158356226.1	WP_158356801.1	WP_158358160.1	WP_158359965.1	WP_158360826.1	WP_158364893.1	WP_158338865.1	WP_158365945.1	WP_158367118.1	WP_158369198.1	WP_158339716.1	WP_158340288.1	WP_158340861.1	*	WP_158346836.1	WP_158348061.1	WP_163119689.1	WP_158346836.1	WP_158360826.1	WP_075472937.1	*	*	WP_075432326.1	*	*	*	*	*	*	*	*	*	*
